task,subject,raw_label,binary_label,recording_id,source_filename,file_sha256,duplicate_hash_group_size,is_exact_duplicate_signal,samples,duration_seconds,windows,input_columns,output_eeg_columns,packet_counter_removed,parser_schema,modulo_step_fraction,included_cross_task_source,included_cross_task_target,included_arithmetic_loso,included_stroop_loso,included_any_v3_analysis,audit_note
arithmetic,1,0,0,arithmetic:s01:r0,natural-1.txt,813be1744c01870112233ff18d292bc2aca52171b95573293e872acbc693cf09,2,True,21669,86.676000000000002,157,23,8,True,openbci_packet_counter_removed_v2,0.75216909728632086,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,1,1,0,arithmetic:s01:r1,lowlevel-1.txt,4f32342490334e7530bfd368741a283de933693f1114335db3bba2c84ce01cec,1,False,21044,84.176000000000002,152,23,8,True,openbci_packet_counter_removed_v2,0.99686356508102458,True,True,True,False,True,included_without_special_exclusion
arithmetic,1,2,1,arithmetic:s01:r2,midlevel-1.txt,da22c226a8368e62499a9262ed4996a10da21f94c2debbafdc9cb5ac38df64f1,1,False,23235,92.939999999999998,169,23,8,True,openbci_packet_counter_removed_v2,0.99139192562623757,True,True,True,False,True,included_without_special_exclusion
arithmetic,1,3,1,arithmetic:s01:r3,highlevel-1.txt,8c91d428bf059e1c755ea673787b9979764686a3b87617c472588b67d61d9b79,1,False,29330,117.31999999999999,218,23,8,True,openbci_packet_counter_removed_v2,0.99682907702274204,True,True,True,False,True,included_without_special_exclusion
arithmetic,2,0,0,arithmetic:s02:r0,natural-2.txt,39ad0e65474d4ea74b479f2f8f7f4cb0db6b2afaca3be1f440a1f6cd2dea722b,2,True,58338,233.352,450,23,8,True,openbci_packet_counter_removed_v2,0.99910862745770279,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,2,1,0,arithmetic:s02:r1,lowlevel-2.txt,2839378574970b086b2bee3124f061c198b23a85eebedda2cb60643044ba8b64,1,False,18530,74.120000000000005,132,23,8,True,openbci_packet_counter_removed_v2,0.9998380916401316,True,True,True,False,True,included_without_special_exclusion
arithmetic,2,2,1,arithmetic:s02:r2,midlevel-2.txt,2c79891218b28dd7b3a23bc8c3d0672c33e4d5a0792983d83c30060f2d3d6ecb,1,False,19120,76.480000000000004,136,23,8,True,openbci_packet_counter_removed_v2,0.99979078403682198,True,True,True,False,True,included_without_special_exclusion
arithmetic,2,3,1,arithmetic:s02:r3,highlevel-2.txt,fde4ec9617e5d3047937fd890fc298c30f1a360dec1aeb813b8536a1ae9e7a8e,1,False,35826,143.304,270,23,8,True,openbci_packet_counter_removed_v2,0.99994417306350325,True,True,True,False,True,included_without_special_exclusion
arithmetic,3,0,0,arithmetic:s03:r0,natural-3.txt,c1deb0a4cd980b27d34b0adc64d0d4ca8f7a7dce08635f5035d431d0fab48756,2,True,24660,98.640000000000001,181,23,8,True,openbci_packet_counter_removed_v2,0.95020073806723715,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,3,1,0,arithmetic:s03:r1,lowlevel-3.txt,49a7c31ef1680f7c0355a137b4fe2323c81ae195cd44f83809e50e8a10596750,1,False,13453,53.811999999999998,91,23,8,True,openbci_packet_counter_removed_v2,0.7537912578055308,True,True,True,False,True,included_without_special_exclusion
arithmetic,3,2,1,arithmetic:s03:r2,midlevel-3.txt,d40c4bb8924fcaf7ff445d44d54435b3ed87bb4f1e72a69387ff4adf8b66befa,1,False,19224,76.896000000000001,137,23,8,True,openbci_packet_counter_removed_v2,0.92633824064922243,True,True,True,False,True,included_without_special_exclusion
arithmetic,3,3,1,arithmetic:s03:r3,highlevel-3.txt,6780031908fa623e8b4519fb098983aedc78566d1ea50ff84ac4d9792cc0aa79,1,False,22074,88.296000000000006,160,23,8,True,openbci_packet_counter_removed_v2,0.74131291623250128,True,True,True,False,True,included_without_special_exclusion
arithmetic,4,0,0,arithmetic:s04:r0,natural-4.txt,230b00ddf109b7c5484a61e4e2677e4b0e76cc004d1427e25a0d01a2a2db9d20,2,True,16615,66.459999999999994,116,23,8,True,openbci_packet_counter_removed_v2,0.82219814614180808,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,4,1,0,arithmetic:s04:r1,lowlevel-4.txt,5ca263c815bbd8baf5178bd8992eb9271b50a8ef986b87b2b47d01439eaf3c1f,1,False,16938,67.751999999999995,119,23,8,True,openbci_packet_counter_removed_v2,0.98163783432721263,True,True,True,False,True,included_without_special_exclusion
arithmetic,4,2,1,arithmetic:s04:r2,midlevel-4.txt,b6bf5f681b617ecd8ad8ea274a6e3bcc295839d1141ed526b7a63559abdd60db,1,False,28353,113.41200000000001,210,23,8,True,openbci_packet_counter_removed_v2,0.99495626410835203,True,True,True,False,True,included_without_special_exclusion
arithmetic,4,3,1,arithmetic:s04:r3,highlevel-4.txt,c61b0dc78ef1a639072b8a13cd25727e414a7940c99baf6bf4d7e4acb9768ded,1,False,29627,118.508,221,23,8,True,openbci_packet_counter_removed_v2,0.98349422804293518,True,True,True,False,True,included_without_special_exclusion
arithmetic,5,0,0,arithmetic:s05:r0,natural-5.txt,ec5fff7ec899e656772cd752f44282a46aab1192a1f07b9c1d34e855cce124fc,2,True,32500,130,244,23,8,True,openbci_packet_counter_removed_v2,0.99990768946736819,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,5,1,0,arithmetic:s05:r1,lowlevel-5.txt,147a2783d93f9db1711c738483d62a30855041bf61ad33b57dc2d63da9c9c64e,1,False,21163,84.652000000000001,153,23,8,True,openbci_packet_counter_removed_v2,0.99995274548719404,True,True,True,False,True,included_without_special_exclusion
arithmetic,5,2,1,arithmetic:s05:r2,midlevel-5.txt,77dd309000cfbd1ed8adda54951ad9f4d71e9e6c8dd118d282fe7162fd7757dc,1,False,26815,107.26000000000001,198,23,8,True,openbci_packet_counter_removed_v2,1,True,True,True,False,True,included_without_special_exclusion
arithmetic,5,3,1,arithmetic:s05:r3,highlevel-5.txt,179fa20e292426e9207d746aa6844fb179f5a3287e44d3d34bf490bcebcdf941,1,False,31025,124.09999999999999,232,23,8,True,openbci_packet_counter_removed_v2,1,True,True,True,False,True,included_without_special_exclusion
arithmetic,6,0,0,arithmetic:s06:r0,natural-6.txt,369cdc5654119aa9ba3c8f8c7f4476e41fccc292c14fd802411982109bf79b17,2,True,20761,83.043999999999997,150,23,8,True,openbci_packet_counter_removed_v2,0.99966281310211957,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,6,1,0,arithmetic:s06:r1,lowlevel-6.txt,46d68d52479cde545d74d3226ad2dca2e76fc27518f574b562fb2af7ae989e7a,1,False,16989,67.956000000000003,119,23,8,True,openbci_packet_counter_removed_v2,0.99558511890746404,True,True,True,False,True,included_without_special_exclusion
arithmetic,6,2,1,arithmetic:s06:r2,midlevel-6.txt,11e075f05f1f2caa75c99cf1411075289aa99beaba04042304420bdc34d055fa,1,False,18280,73.120000000000005,130,23,8,True,openbci_packet_counter_removed_v2,0.9897149734668198,True,True,True,False,True,included_without_special_exclusion
arithmetic,6,3,1,arithmetic:s06:r3,highlevel-6.txt,5becce6f0fbcfa0d948dbee23e6206dd9879ce7f38a12b2e9de9369ec564d0ed,1,False,25995,103.98,191,23,8,True,openbci_packet_counter_removed_v2,0.99103639301377244,True,True,True,False,True,included_without_special_exclusion
arithmetic,7,0,0,arithmetic:s07:r0,natural-7.txt,4aa8f6dbf6e062c39449002e4ab533920f6e76c3d94fd1e5c4b700baccb68575,2,True,23148,92.591999999999999,169,23,8,True,openbci_packet_counter_removed_v2,0.99818551000129596,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,7,1,0,arithmetic:s07:r1,lowlevel-7.txt,d1238f0d28d2f50ae31405c840d1a813b690710a4c0c61cec7c225ba7391b9ab,1,False,6549,26.196000000000002,36,23,8,True,openbci_packet_counter_removed_v2,0.58399511301160656,True,True,True,False,True,included_without_special_exclusion
arithmetic,7,2,1,arithmetic:s07:r2,midlevel-7.txt,aa52cc1b26ba49e0130407d543982d0485a321e1fd69ab40e58b8a5caae70c3c,1,False,7822,31.288,46,23,8,True,openbci_packet_counter_removed_v2,0.72637770106124533,True,True,True,False,True,included_without_special_exclusion
arithmetic,7,3,1,arithmetic:s07:r3,highlevel-7.txt,cb14c351e31589efa2279770e2a6d51f1d5744aba2aab006ce80d1211172e1a4,1,False,14768,59.072000000000003,102,23,8,True,openbci_packet_counter_removed_v2,0.60459131848039549,True,True,True,False,True,included_without_special_exclusion
arithmetic,8,0,0,arithmetic:s08:r0,natural-8.txt,10a1a639d8c5cd09dc5c82012859c520450726f1cf0e8a314ee4d58e0be4fc86,2,True,25819,103.276,190,23,8,True,openbci_packet_counter_removed_v2,0.99976760399721121,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,8,1,0,arithmetic:s08:r1,lowlevel-8.txt,66c56f28ec377ed4f7e54c2a0486570ce077fbab6dc9eb18b9a1c02f26bb94b3,1,False,36775,147.09999999999999,278,23,8,True,openbci_packet_counter_removed_v2,0.99643770054930125,True,True,True,False,True,included_without_special_exclusion
arithmetic,8,2,1,arithmetic:s08:r2,midlevel-8.txt,612a75cd8d4981a5a6c7e53f5b221a3ab74bf28087cf0a237bb4a10979daa270,1,False,34417,137.66800000000001,259,23,8,True,openbci_packet_counter_removed_v2,0.99991283124128316,True,True,True,False,True,included_without_special_exclusion
arithmetic,8,3,1,arithmetic:s08:r3,highlevel-8.txt,655cce8710c007ae448a82ded2295ed7e99488c4912ea81f48320af22d019e72,1,False,40956,163.82400000000001,311,23,8,True,openbci_packet_counter_removed_v2,0.99995116591380784,True,True,True,False,True,included_without_special_exclusion
arithmetic,9,0,0,arithmetic:s09:r0,natural-9.txt,81b9a7a6e9d819793e58ef69b23b214c65f36dcd1d6323095ee3b334057d38b3,2,True,53299,213.196,410,23,8,True,openbci_packet_counter_removed_v2,0.97909865285751796,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
arithmetic,9,1,0,arithmetic:s09:r1,lowlevel-9.txt,4f66e90a6f3c759e09f44da6d64bc1bc6e7026a21dbd9b601db5a8752c15d1bd,1,False,17238,68.951999999999998,121,23,8,True,openbci_packet_counter_removed_v2,1,True,True,True,False,True,included_without_special_exclusion
arithmetic,9,2,1,arithmetic:s09:r2,midlevel-9.txt,03607e4836c66f7e897e176c850b8f682b346c417e4ac1f449ecf1c97a3fa1ab,1,False,17351,69.403999999999996,122,23,8,True,openbci_packet_counter_removed_v2,0.99965417867435158,True,True,True,False,True,included_without_special_exclusion
arithmetic,9,3,1,arithmetic:s09:r3,highlevel-9.txt,062d6ab41829d595cac3ed0fa9be731cd0cf71c674849dd239501a3807e5d503,1,False,55313,221.25200000000001,426,23,8,True,openbci_packet_counter_removed_v2,0.99994576222157938,True,True,True,False,True,included_without_special_exclusion
arithmetic,10,0,0,arithmetic:s10:r0,natural-10.txt,e21249469c1bea99ebed92854772cb6743865766e8272fdd507960a84eb436ec,2,True,25131,100.524,185,23,8,True,openbci_packet_counter_removed_v2,1,True,False,True,False,True,excluded_from_cross_task_target_due_to_same_subject_cross_task_natural_duplicate
