correct,fold,held_out_subject,p0,p1,pred_label,recording_id,split_seed,strategy,strategy_display,task,true_label,validation_windows_from_recording
1,1,1,0.63730317307629614,0.36269682692370392,0,arithmetic:s01:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,157
0,1,1,0.44215928170410945,0.55784071829589055,1,arithmetic:s01:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,152
1,1,1,0.41726524673982274,0.58273475326017732,1,arithmetic:s01:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,169
1,1,1,0.16540567275872919,0.83459432724127081,1,arithmetic:s01:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,218
0,2,2,0.0066335821593614102,0.9933664178406385,1,arithmetic:s02:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,450
0,2,2,0.017873285948975543,0.98212671405102447,1,arithmetic:s02:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,132
1,2,2,0.012017496558736804,0.98798250344126326,1,arithmetic:s02:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,136
1,2,2,0.011564932422996112,0.98843506757700395,1,arithmetic:s02:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,270
1,3,3,0.9847729937019104,0.01522700629808953,0,arithmetic:s03:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,181
0,3,3,0.28543972820433444,0.71456027179566561,1,arithmetic:s03:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,91
1,3,3,0.064660120290991094,0.935339879709009,1,arithmetic:s03:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,137
1,3,3,0.21584988069208486,0.78415011930791512,1,arithmetic:s03:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,160
0,4,4,0.016983587284612151,0.98301641271538787,1,arithmetic:s04:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,116
0,4,4,0.11742071551278152,0.88257928448721845,1,arithmetic:s04:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,119
1,4,4,0.098125135368686028,0.90187486463131405,1,arithmetic:s04:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,210
1,4,4,0.061234156006506113,0.93876584399349383,1,arithmetic:s04:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,221
1,5,5,0.9917278935626842,0.0082721064373157648,0,arithmetic:s05:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,244
1,5,5,0.84564929758276886,0.15435070241723112,0,arithmetic:s05:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,153
0,5,5,0.88583657409534333,0.1141634259046566,0,arithmetic:s05:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,198
0,5,5,0.65542357413340646,0.34457642586659348,0,arithmetic:s05:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,232
1,6,6,0.99996977429526224,3.022570473778186e-05,0,arithmetic:s06:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,150
1,6,6,0.99911076963567347,0.00088923036432656585,0,arithmetic:s06:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,119
0,6,6,0.99987084723695929,0.00012915276304069565,0,arithmetic:s06:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,130
0,6,6,0.99974996434589802,0.00025003565410204739,0,arithmetic:s06:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,191
1,7,7,0.97268166836125924,0.02731833163874086,0,arithmetic:s07:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,169
1,7,7,0.96499929948261531,0.035000700517384652,0,arithmetic:s07:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,36
0,7,7,0.98770106777367295,0.012298932226327042,0,arithmetic:s07:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,46
0,7,7,0.75450126819279217,0.24549873180720785,0,arithmetic:s07:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,102
0,8,8,0.14990853494080589,0.8500914650591942,1,arithmetic:s08:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,190
0,8,8,0.14520225805797829,0.85479774194202163,1,arithmetic:s08:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,278
1,8,8,0.074802008755931806,0.9251979912440681,1,arithmetic:s08:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,259
1,8,8,0.050636642347715102,0.94936335765228486,1,arithmetic:s08:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,311
1,9,9,0.99817878572144325,0.0018212142785566717,0,arithmetic:s09:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,410
1,9,9,0.89122436911298386,0.10877563088701617,0,arithmetic:s09:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,121
0,9,9,0.84065625659799303,0.15934374340200702,0,arithmetic:s09:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,122
0,9,9,0.94056374934797826,0.059436250652021683,0,arithmetic:s09:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,426
1,10,10,0.95444851272594355,0.045551487274056321,0,arithmetic:s10:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,185
0,10,10,0.42950475588557457,0.57049524411442532,1,arithmetic:s10:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,96
1,10,10,0.37990812658445045,0.62009187341554961,1,arithmetic:s10:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,112
0,10,10,0.51833166996219104,0.4816683300378089,0,arithmetic:s10:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,145
1,11,11,0.74421786983018512,0.25578213016981488,0,arithmetic:s11:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,244
0,11,11,0.22182794364185876,0.77817205635814124,1,arithmetic:s11:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,155
1,11,11,0.17997218842851642,0.82002781157148363,1,arithmetic:s11:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,162
1,11,11,0.21323457810269447,0.78676542189730547,1,arithmetic:s11:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,211
0,12,12,0.45774836791768603,0.54225163208231397,1,arithmetic:s12:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,185
0,12,12,0.076573794298349832,0.92342620570165013,1,arithmetic:s12:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,116
1,12,12,0.081277048867388513,0.91872295113261149,1,arithmetic:s12:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,135
1,12,12,0.074274832651473915,0.92572516734852606,1,arithmetic:s12:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,219
1,13,13,0.98888189103636981,0.011118108963630172,0,arithmetic:s13:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,180
0,13,13,0.27543204848999797,0.72456795151000197,1,arithmetic:s13:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,142
1,13,13,0.18322146128010863,0.81677853871989137,1,arithmetic:s13:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,145
1,13,13,0.1379334889998457,0.8620665110001543,1,arithmetic:s13:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,203
1,14,14,0.94676470860735296,0.053235291392647072,0,arithmetic:s14:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,155
0,14,14,0.04151136554818232,0.95848863445181776,1,arithmetic:s14:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,114
1,14,14,0.046661126853350367,0.95333887314664967,1,arithmetic:s14:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,155
1,14,14,0.061237654542948397,0.93876234545705162,1,arithmetic:s14:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,170
0,15,15,0.11179215861762504,0.88820784138237496,1,arithmetic:s15:r0,,participant_disjoint,Participant-disjoint split,arithmetic,0,165
0,15,15,0.0009267733918813635,0.99907322660811859,1,arithmetic:s15:r1,,participant_disjoint,Participant-disjoint split,arithmetic,0,184
1,15,15,0.0016094125097404126,0.99839058749025955,1,arithmetic:s15:r2,,participant_disjoint,Participant-disjoint split,arithmetic,1,130
1,15,15,0.00045140981132716404,0.99954859018867281,1,arithmetic:s15:r3,,participant_disjoint,Participant-disjoint split,arithmetic,1,248
1,1,1,0.99999950978879804,4.9021120192090508e-07,0,arithmetic:s01:r0,1335,random_window,Random-window split,arithmetic,0,21
1,1,1,0.97272441212098404,0.027275587879015902,0,arithmetic:s01:r1,1335,random_window,Random-window split,arithmetic,0,16
