task,strategy,strategy_display,held_out_subject,recording_accuracy_mean,recording_accuracy_std,recording_accuracy_min,recording_accuracy_max,recording_balanced_accuracy_mean,recording_balanced_accuracy_std,recording_balanced_accuracy_min,recording_balanced_accuracy_max,recording_sensitivity_mean,recording_sensitivity_std,recording_sensitivity_min,recording_sensitivity_max,recording_specificity_mean,recording_specificity_std,recording_specificity_min,recording_specificity_max,recording_f1_mean,recording_f1_std,recording_f1_min,recording_f1_max,recording_auroc_mean,recording_auroc_std,recording_auroc_min,recording_auroc_max,recording_log_loss_mean,recording_log_loss_std,recording_log_loss_min,recording_log_loss_max,recording_brier_score_mean,recording_brier_score_std,recording_brier_score_min,recording_brier_score_max,window_accuracy_mean,window_accuracy_std,window_accuracy_min,window_accuracy_max,window_balanced_accuracy_mean,window_balanced_accuracy_std,window_balanced_accuracy_min,window_balanced_accuracy_max,window_log_loss_mean,window_log_loss_std,window_log_loss_min,window_log_loss_max,recording_overlap_rate_mean,recording_overlap_rate_std,recording_overlap_rate_min,recording_overlap_rate_max,participant_overlap_rate_mean,participant_overlap_rate_std,participant_overlap_rate_min,participant_overlap_rate_max,validation_windows_with_raw_overlap_fraction_mean,validation_windows_with_raw_overlap_fraction_std,validation_windows_with_raw_overlap_fraction_min,validation_windows_with_raw_overlap_fraction_max,mean_nearest_train_raw_overlap_fraction_mean,mean_nearest_train_raw_overlap_fraction_std,mean_nearest_train_raw_overlap_fraction_min,mean_nearest_train_raw_overlap_fraction_max,n_evaluations
arithmetic,participant_disjoint,Participant-disjoint split,1,0.75,,0.75,0.75,0.75,,0.75,0.75,1,,1,1,0.5,,0.5,0.5,0.80000000000000004,,0.80000000000000004,0.80000000000000004,1,,1,1,0.49685689159474633,,0.49685689159474633,0.49685689159474633,0.16105114449175281,,0.16105114449175281,0.16105114449175281,0.53304597701149425,,0.53304597701149425,0.53304597701149425,0.52433456260505262,,0.52433456260505262,0.52433456260505262,1.0327242958067693,,1.0327242958067693,1.0327242958067693,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,2,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,1,1,0,,0,0,0.66666666666666663,,0.66666666666666663,0.66666666666666663,0.5,,0.5,0.5,2.2659452569872034,,2.2659452569872034,2.2659452569872034,0.48790697260792315,,0.48790697260792315,0.48790697260792315,0.42813765182186236,,0.42813765182186236,0.42813765182186236,0.5138599698677907,,0.5138599698677907,0.5138599698677907,2.8922240181514458,,2.8922240181514458,2.8922240181514458,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,3,0.75,,0.75,0.75,0.75,,0.75,0.75,1,,1,1,0.5,,0.5,0.5,0.80000000000000004,,0.80000000000000004,0.80000000000000004,1,,1,1,0.39476715392400602,,0.39476715392400602,0.39476715392400602,0.14040008647508256,,0.14040008647508256,0.14040008647508256,0.81546572934973638,,0.81546572934973638,0.81546572934973638,0.81100836799366216,,0.81100836799366216,0.81100836799366216,0.42595031634508185,,0.42595031634508185,0.42595031634508185,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,4,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,1,1,0,,0,0,0.66666666666666663,,0.66666666666666663,0.66666666666666663,0.5,,0.5,0.5,1.5959921219273703,,1.5959921219273703,1.5959921219273703,0.43966140628168804,,0.43966140628168804,0.43966140628168804,0.71321321321321318,,0.71321321321321318,0.71321321321321318,0.60909808954929157,,0.60909808954929157,0.60909808954929157,3.2201664176216154,,3.2201664176216154,3.2201664176216154,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,5,0.5,,0.5,0.5,0.5,,0.5,0.5,0,,0,0,1,,1,1,0,,0,0,0.75,,0.75,0.75,0.8528801803271453,,0.8528801803271453,0.8528801803271453,0.30954476615409671,,0.30954476615409671,0.30954476615409671,0.55501813784764209,,0.55501813784764209,0.55501813784764209,0.56803350711733347,,0.56803350711733347,0.56803350711733347,1.2539096833484664,,1.2539096833484664,1.2539096833484664,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,6,0.5,,0.5,0.5,0.5,,0.5,0.5,0,,0,0,1,,1,1,0,,0,0,0.5,,0.5,0.5,4.3123353826490671,,4.3123353826490671,4.3123353826490671,0.4998106235020533,,0.4998106235020533,0.4998106235020533,0.45932203389830506,,0.45932203389830506,0.45932203389830506,0.50311526479750779,,0.50311526479750779,0.50311526479750779,4.6671336731599382,,4.6671336731599382,4.6671336731599382,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,7,0.5,,0.5,0.5,0.5,,0.5,0.5,0,,0,0,1,,1,1,0,,0,0,0.5,,0.5,0.5,1.4665081619365603,,1.4665081619365603,1.4665081619365603,0.38669922581650429,,0.38669922581650429,0.38669922581650429,0.56940509915014159,,0.56940509915014159,0.56940509915014159,0.51372775214238631,,0.51372775214238631,0.51372775214238631,1.196116543464576,,1.196116543464576,1.196116543464576,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,8,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,1,1,0,,0,0,0.66666666666666663,,0.66666666666666663,0.66666666666666663,1,,1,1,0.98926718798585622,,0.98926718798585622,0.98926718798585622,0.36537352216445979,,0.36537352216445979,0.36537352216445979,0.5684007707129094,,0.5684007707129094,0.5684007707129094,0.52385290148448049,,0.52385290148448049,0.52385290148448049,0.97827233500788113,,0.97827233500788113,0.97827233500788113,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,9,0.5,,0.5,0.5,0.5,,0.5,0.5,0,,0,0,1,,1,1,0,,0,0,0.75,,0.75,0.75,1.1941311003217583,,1.1941311003217583,1.1941311003217583,0.4007996407602985,,0.4007996407602985,0.4007996407602985,0.45412418906394808,,0.45412418906394808,0.45412418906394808,0.46004989896490572,,0.46004989896490572,0.46004989896490572,1.5963408265836003,,1.5963408265836003,1.5963408265836003,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
arithmetic,participant_disjoint,Participant-disjoint split,10,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.75,,0.75,0.75,0.52503279654250834,,0.52503279654250834,0.52503279654250834,0.1851344165701892,,0.1851344165701892,0.1851344165701892,0.6598513011152416,,0.6598513011152416,0.6598513011152416,0.65792680393813097,,0.65792680393813097,0.65792680393813097,0.91523220310027353,,0.91523220310027353,0.91523220310027353,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1
