fold,held_out_subject,maximum_nearest_train_raw_overlap_fraction,mean_nearest_train_raw_overlap_fraction,overlapping_participants,overlapping_recordings,participant_overlap_rate,recording_accuracy,recording_auroc,recording_average_precision,recording_balanced_accuracy,recording_brier_score,recording_f1,recording_fn,recording_fp,recording_log_loss,recording_n,recording_n_class_0,recording_n_class_1,recording_overlap_rate,recording_pr_auc,recording_precision,recording_sensitivity,recording_specificity,recording_tn,recording_tp,split_seed,strategy,strategy_display,task,train_participants,train_recordings,train_windows,validation_participants,validation_recordings,validation_windows,validation_windows_with_raw_overlap_fraction,window_accuracy,window_auroc,window_average_precision,window_balanced_accuracy,window_brier_score,window_f1,window_fn,window_fp,window_log_loss,window_n,window_n_class_0,window_n_class_1,window_pr_auc,window_precision,window_sensitivity,window_specificity,window_tn,window_tp
1,1,0,0,0,0,0,0.75,1,1,0.75,0.16105114449175281,0.80000000000000004,0,1,0.49685689159474633,4,2,2,0,1,0.66666666666666663,1,0.5,1,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10066,1,4,696,0,0.53304597701149425,0.56150121672813025,0.63779379004962888,0.52433456260505262,0.30046905249359074,0.58912768647281921,154,171,1.0327242958067693,696,309,387,0.63704929125031828,0.57673267326732669,0.6020671834625323,0.44660194174757284,138,233
2,2,0,0,0,0,0,0.5,0.5,0.58333333333333326,0.5,0.48790697260792315,0.66666666666666663,0,2,2.2659452569872034,4,2,2,0,0.41666666666666663,0.5,1,0,0,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,9774,1,4,988,0,0.42813765182186236,0.4264003859631304,0.34228611108451445,0.5138599698677907,0.52858440725452793,0.58849235251274579,2,563,2.8922240181514458,988,582,406,0.34126560725879374,0.41778697001034126,0.99507389162561577,0.032646048109965638,19,404
3,3,0,0,0,0,0,0.75,1,1,0.75,0.14040008647508256,0.80000000000000004,0,1,0.39476715392400602,4,2,2,0,1,0.66666666666666663,1,0.5,1,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10193,1,4,569,0,0.81546572934973638,0.88656169538522478,0.8736454234326464,0.81100836799366216,0.1357084928162216,0.83771251931993818,26,79,0.42595031634508185,569,272,297,0.87315538340471877,0.77428571428571424,0.91245791245791241,0.7095588235294118,193,271
4,4,0,0,0,0,0,0.5,0.5,0.58333333333333326,0.5,0.43966140628168804,0.66666666666666663,0,2,1.5959921219273703,4,2,2,0,0.41666666666666663,0.5,1,0,0,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10096,1,4,666,0,0.71321321321321318,0.35482055585723454,0.52644327629480747,0.60909808954929157,0.27849899918776028,0.81292850146914786,16,175,3.2201664176216154,666,235,431,0.52539939159013815,0.70338983050847459,0.96287703016241299,0.25531914893617019,60,415
5,5,0,0,0,0,0,0.5,0.75,0.83333333333333326,0.5,0.30954476615409671,0,2,0,0.8528801803271453,4,2,2,0,0.79166666666666663,,0,1,2,0,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,9935,1,4,827,0,0.55501813784764209,0.7571026887704293,0.68650951077179423,0.56803350711733347,0.34931071738403668,0.3611111111111111,326,42,1.2539096833484664,827,397,430,0.68465105661017756,0.71232876712328763,0.24186046511627907,0.89420654911838793,355,104
6,6,0,0,0,0,0,0.5,0.5,0.58333333333333326,0.5,0.4998106235020533,0,2,0,4.3123353826490671,4,2,2,0,0.41666666666666663,,0,1,2,0,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10172,1,4,590,0,0.45932203389830506,0.5234918759916154,0.54161236929124013,0.50311526479750779,0.53790104358187507,0.01238390092879257,319,0,4.6671336731599382,590,269,321,0.54006055376903339,1,0.0062305295950155761,1,269,2
7,7,0,0,0,0,0,0.5,0.5,0.75,0.5,0.38669922581650429,0,2,0,1.4665081619365603,4,2,2,0,0.70833333333333326,,0,1,2,0,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10409,1,4,353,0,0.56940509915014159,0.62600527356624913,0.50120030624668921,0.51372775214238631,0.32256383796091348,0.24752475247524752,123,29,1.196116543464576,353,205,148,0.49550268929291924,0.46296296296296297,0.16891891891891891,0.85853658536585364,176,25
8,8,0,0,0,0,0,0.5,1,1,0.5,0.36537352216445979,0.66666666666666663,0,2,0.98926718798585622,4,2,2,0,1,0.5,1,0,0,2,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,9724,1,4,1038,0,0.5684007707129094,0.72034038086669661,0.73767056388044705,0.52385290148448049,0.31399971064989385,0.71318822023047379,13,435,0.97827233500788113,1038,468,570,0.7364282995888094,0.561491935483871,0.97719298245614039,0.070512820512820512,33,557
9,9,0,0,0,0,0,0.5,0.75,0.83333333333333326,0.5,0.4007996407602985,0,2,0,1.1941311003217583,4,2,2,0,0.79166666666666663,,0,1,2,0,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,9683,1,4,1079,0,0.45412418906394808,0.60598375190729525,0.52144148558426928,0.46004989896490572,0.41235149852658071,0.13509544787077826,502,87,1.5963408265836003,1079,531,548,0.52045933187401117,0.34586466165413532,0.083941605839416053,0.83615819209039544,444,46
10,10,0,0,0,0,0,0.5,0.75,0.83333333333333326,0.5,0.1851344165701892,0.5,1,1,0.52503279654250834,4,2,2,0,0.79166666666666663,0.5,0.5,0.5,1,1,,participant_disjoint,Participant-disjoint split,arithmetic,14,56,10224,1,4,538,0,0.6598513011152416,0.68591882797679227,0.57007371718155886,0.65792680393813097,0.26671758115868016,0.63326653306613223,99,84,0.91523220310027353,538,281,257,0.56713715533037856,0.65289256198347112,0.61478599221789887,0.70106761565836295,197,158
