task,task_display,variant,variant_display,variant_role,held_out_subject,recording_id,raw_level,true_label,p0,p1,pred_label,correct,n_windows
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,1,arithmetic:s01:r0,0,0,0.046783546064996205,0.95321645393500376,1,0,157
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,1,arithmetic:s01:r1,1,1,0.048891823142617863,0.95110817685738214,1,1,152
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,1,arithmetic:s01:r2,2,1,0.042605200566089726,0.95739479943391026,1,1,169
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,1,arithmetic:s01:r3,3,1,0.051252857588729744,0.94874714241127023,1,1,218
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,2,arithmetic:s02:r0,0,0,0.0048787275006134632,0.99512127249938642,1,0,450
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,2,arithmetic:s02:r1,1,1,0.00025932586776907678,0.99974067413223089,1,1,132
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,2,arithmetic:s02:r2,2,1,0.00024685498061101374,0.99975314501938894,1,1,136
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,2,arithmetic:s02:r3,3,1,0.00043474132784967551,0.99956525867215029,1,1,270
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,3,arithmetic:s03:r0,0,0,0.99785507564349951,0.0021449243565005451,0,1,181
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,3,arithmetic:s03:r1,1,1,0.00057145288978918728,0.99942854711021079,1,1,91
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,3,arithmetic:s03:r2,2,1,0.0019589569769383132,0.99804104302306174,1,1,137
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,3,arithmetic:s03:r3,3,1,0.0018292695681591089,0.9981707304318409,1,1,160
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,4,arithmetic:s04:r0,0,0,7.3282873501112723e-08,0.99999992671712645,1,0,116
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,4,arithmetic:s04:r1,1,1,0.99999568390773008,4.3160922698515941e-06,0,0,119
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,4,arithmetic:s04:r2,2,1,1.175215826691476e-07,0.99999988247841742,1,1,210
