task,task_display,variant,variant_display,variant_role,metric,n_participants,participant_macro_mean,participant_standard_deviation,ci95_percentile_low,ci95_percentile_high
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,accuracy,15,0.6333333333333333,0.22886885410853175,0.53333333333333333,0.73333333333333328
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,balanced_accuracy,15,0.6333333333333333,0.22886885410853175,0.53333333333333333,0.76666666666666672
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,sensitivity,15,0.66666666666666663,0.4879500364742666,0.40000000000000002,0.8666666666666667
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,specificity,15,0.59999999999999998,0.50709255283710997,0.33333333333333331,0.8666666666666667
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,f1,15,0.53333333333333333,0.41403933560541256,0.33333333333333331,0.73333333333333317
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,auroc,15,0.93333333333333335,0.25819888974716115,0.80000000000000004,1
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,pr_auc,15,0.94999999999999996,0.19364916731037091,0.84999999999999998,1
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,average_precision,15,0.96666666666666667,0.12909944487358058,0.90000000000000002,1
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,log_loss,15,1.5825690788093845,1.984005831961192,0.73687295869911074,2.6343602218137021
arithmetic,Arithmetic,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,brier_score,15,0.29095804348281823,0.17575455312677141,0.20482045786907488,0.37481573430489507
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,accuracy,15,0.58333333333333337,0.12198750911856665,0.53333333333333333,0.65000000000000002
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,balanced_accuracy,15,0.58333333333333337,0.12198750911856665,0.53333333333333333,0.65000000000000002
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,sensitivity,15,0.69999999999999996,0.45512949491639965,0.46666666666666667,0.90000000000000002
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,specificity,15,0.46666666666666667,0.39940431835899015,0.26666666666666666,0.66666666666666663
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,f1,15,0.52222222222222225,0.33609963249453717,0.3511111111111111,0.68222222222222217
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,auroc,15,0.75,0.21128856368212914,0.65000000000000002,0.84999999999999998
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,pr_auc,15,0.75555555555555542,0.23404794199787179,0.63888888888888884,0.86666666666666659
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,average_precision,15,0.81666666666666676,0.16726084561603319,0.73333333333333328,0.89444444444444449
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,log_loss,15,1.2717186539927594,1.0419423794721121,0.82500616440451835,1.8347944950814883
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,brier_score,15,0.31175801775335649,0.12980541883106864,0.24960449656391892,0.37508814333046009
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,accuracy,15,0.65000000000000002,0.22756474745819988,0.53333333333333333,0.75
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,balanced_accuracy,15,0.61111111111111105,0.19585655046433437,0.52222222222222225,0.71111111111111103
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,sensitivity,15,0.68888888888888877,0.38763971708862632,0.48888888888888887,0.8666666666666667
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,specificity,15,0.53333333333333333,0.5163977794943222,0.26666666666666666,0.80000000000000004
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,f1,15,0.67396825396825399,0.31949844616158191,0.50571428571428567,0.81905555555555554
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,auroc,15,0.88888888888888884,0.29991180361414582,0.73333333333333328,1
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,pr_auc,15,0.95185185185185195,0.135562006525312,0.87129629629629635,1
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,average_precision,15,0.96296296296296302,0.10269015283712422,0.90370370370370379,1
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,log_loss,15,1.4241004963815074,1.7854027401851595,0.71929381778216461,2.402924119017833
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,brier_score,15,0.28242657425400319,0.18179588451275858,0.19426130540189523,0.37364421077119464
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,accuracy,15,0.5,0.25,0.38333333333333336,0.6166666666666667
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,balanced_accuracy,15,0.53333333333333333,0.22002885813615086,0.42222222222222228,0.64444444444444438
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,sensitivity,15,0.59999999999999998,0.50709255283710997,0.33333333333333331,0.8666666666666667
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,specificity,15,0.46666666666666667,0.39440531887330782,0.28888888888888886,0.66666666666666663
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,f1,15,0.31777777777777777,0.30702532511919972,0.17333333333333334,0.46888888888888897
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,auroc,15,0.66666666666666663,0.30860669992418382,0.51111111111111107,0.82222222222222219
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,pr_auc,15,0.51666666666666672,0.40970372570571395,0.32222222222222219,0.72777777777777786
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,average_precision,15,0.6333333333333333,0.31622776601683794,0.4777777777777778,0.78888888888888897
