task,task_display,variant,variant_display,variant_role,held_out_subject,train_participants,validation_participants,train_recordings,validation_recordings,train_windows,validation_windows,participant_overlap,recording_overlap,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,1,14,1,56,4,10066,696,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,0.33333333333333331,0.76388888888888884,0.80555555555555558,0.80212589654665778,0.22886351923722986
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,2,14,1,56,4,9774,988,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,1,1,1,1.3309529829998694,0.24756666604202685
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,3,14,1,56,4,10193,569,0,0,4,1,3,1,0,0,3,1,1,1,1,1,1,1,1,1,0.0016276668000660785,3.0277496227114489e-06
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,4,14,1,56,4,10096,666,0,0,4,1,3,0,1,1,2,0.5,0.33333333333333331,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0,0.51388888888888884,0.63888888888888884,7.1955248210381875,0.49999780531709448
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,5,14,1,56,4,9935,827,0,0,4,1,3,1,0,0,3,1,1,1,1,1,1,1,1,1,0.34946152023225219,0.10481702939664457
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,6,14,1,56,4,10172,590,0,0,4,1,3,1,0,2,1,0.5,0.66666666666666663,0.33333333333333331,1,1,0.5,1,1,1,1.2247070153376263,0.37140606754107475
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,7,14,1,56,4,10409,353,0,0,4,1,3,1,0,2,1,0.5,0.66666666666666663,0.33333333333333331,1,1,0.5,1,1,1,1.3693815375027389,0.45874582417378468
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,8,14,1,56,4,9724,1038,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,1,1,1,0.68723690173011742,0.21813821450914575
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,9,14,1,56,4,9683,1079,0,0,4,1,3,1,0,2,1,0.5,0.66666666666666663,0.33333333333333331,1,1,0.5,1,1,1,0.8209971452327659,0.3084535409701763
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,10,14,1,56,4,10224,538,0,0,4,1,3,1,0,3,0,0.25,0.5,0,1,,0,1,1,1,1.2102261267458119,0.48043158251953788
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,11,14,1,56,4,9990,772,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,1,1,1,0.24390750926241828,0.096814576692001927
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,12,14,1,56,4,10107,655,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,1,1,1,0.24004112020238794,0.095081649554597011
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,13,14,1,56,4,10092,670,0,0,4,1,3,1,0,1,2,0.75,0.83333333333333326,0.66666666666666663,1,1,0.80000000000000004,1,1,1,0.59089788720999625,0.21682953567756608
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,14,14,1,56,4,10168,594,0,0,4,1,3,1,0,3,0,0.25,0.5,0,1,,0,1,1,1,3.0131804534871787,0.65930402827517309
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,15,14,1,56,4,10035,727,0,0,4,1,3,0,1,0,3,0.75,0.5,1,0,0.75,0.8571428571428571,1,1,1,2.2812388613945376,0.24994554615437184
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,1,14,1,56,4,10066,696,0,0,4,2,2,1,1,0,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,1,1,1,0.49685689159474633,0.16105114449175281
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,2,14,1,56,4,9774,988,0,0,4,2,2,0,2,0,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.5,0.41666666666666663,0.58333333333333326,2.2659452569872034,0.48790697260792315
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,3,14,1,56,4,10193,569,0,0,4,2,2,1,1,0,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,1,1,1,0.39476715392400602,0.14040008647508256
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,4,14,1,56,4,10096,666,0,0,4,2,2,0,2,0,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.5,0.41666666666666663,0.58333333333333326,1.5959921219273703,0.43966140628168804
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,5,14,1,56,4,9935,827,0,0,4,2,2,2,0,2,0,0.5,0.5,0,1,,0,0.75,0.79166666666666663,0.83333333333333326,0.8528801803271453,0.30954476615409671
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,6,14,1,56,4,10172,590,0,0,4,2,2,2,0,2,0,0.5,0.5,0,1,,0,0.5,0.41666666666666663,0.58333333333333326,4.3123353826490671,0.4998106235020533
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,7,14,1,56,4,10409,353,0,0,4,2,2,2,0,2,0,0.5,0.5,0,1,,0,0.5,0.70833333333333326,0.75,1.4665081619365603,0.38669922581650429
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,8,14,1,56,4,9724,1038,0,0,4,2,2,0,2,0,2,0.5,0.5,1,0,0.5,0.66666666666666663,1,1,1,0.98926718798585622,0.36537352216445979
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,9,14,1,56,4,9683,1079,0,0,4,2,2,2,0,2,0,0.5,0.5,0,1,,0,0.75,0.79166666666666663,0.83333333333333326,1.1941311003217583,0.4007996407602985
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,10,14,1,56,4,10224,538,0,0,4,2,2,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.79166666666666663,0.83333333333333326,0.52503279654250834,0.1851344165701892
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,11,14,1,56,4,9990,772,0,0,4,2,2,1,1,0,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,1,1,1,0.55987921035294963,0.18720880532931244
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,12,14,1,56,4,10107,655,0,0,4,2,2,0,2,0,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.75,0.79166666666666663,0.83333333333333326,0.87822114659401962,0.28971887482761893
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,13,14,1,56,4,10092,670,0,0,4,2,2,1,1,0,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,1,1,1,0.41285121138298897,0.14442951999090414
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,14,14,1,56,4,10168,594,0,0,4,2,2,1,1,0,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.5,0.41666666666666663,0.58333333333333326,0.83686761873364168,0.23186544242902909
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,15,14,1,56,4,10035,727,0,0,4,2,2,0,2,0,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.75,0.79166666666666663,0.83333333333333326,2.2942443886315673,0.4467658188994349
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,1,14,1,56,4,10066,696,0,0,4,3,1,1,2,0,1,0.5,0.66666666666666663,1,0.33333333333333331,0.33333333333333331,0.5,1,1,1,0.55092863635892142,0.18657740134360931
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,2,14,1,56,4,9774,988,0,0,4,3,1,0,3,0,1,0.25,0.5,1,0,0.25,0.40000000000000002,1,1,1,1.0388212706538413,0.40765386183899543
