evaluation,evaluation_display,condition,condition_display,variant_id,variant,comparator,n_paired_participants,mean_balanced_accuracy_difference,paired_balanced_accuracy_ci95_low,paired_balanced_accuracy_ci95_high,participants_improved,participants_tied,participants_worsened,mean_accuracy_difference,mean_log_loss_difference,wilcoxon_balanced_accuracy_p_raw,analysis_status,wilcoxon_p_bh_24_comparison_family,significant_after_bh_0_05,bh_family
cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,neutral_legacy_multipliers,Neutral legacy multipliers,Reference preprocessing,13,0.0,0.0,0.0,0,13,0,0.0,0.0033694238509860116,1.0,post-hoc reviewer-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,no_50hz_attenuation,No 50-Hz attenuation,Reference preprocessing,13,0.038461538461538464,-0.038461538461538464,0.1346153846153846,2,10,1,0.025641025641025647,0.2983548198074738,0.5323782283120907,post-hoc reviewer-requested exploratory sensitivity,0.901924578641237,False,all 24 non-reference preprocessing comparisons
cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,no_window_zscore,No within-window z-score,Reference preprocessing,13,0.0,-0.11538461538461539,0.09615384615384616,3,8,2,0.025641025641025647,1.0730738571346068,0.7460057700658305,post-hoc reviewer-requested exploratory sensitivity,0.994674360087774,False,all 24 non-reference preprocessing comparisons
cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,recording_zscore,Recording-level z-score,Reference preprocessing,13,-0.07692307692307693,-0.21153846153846154,0.057692307692307696,1,8,4,-0.05128205128205129,1.9590226723980007,0.2103552635998217,post-hoc reviewer-requested exploratory sensitivity,0.6310657907994651,False,all 24 non-reference preprocessing comparisons
cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,neutral_legacy_multipliers,Neutral legacy multipliers,Reference preprocessing,13,-0.019230769230769232,-0.057692307692307696,0.0,0,12,1,-0.02564102564102564,-0.002327510027034134,0.31731050786291415,post-hoc reviewer-requested exploratory sensitivity,0.6923138353372672,False,all 24 non-reference preprocessing comparisons
cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,no_50hz_attenuation,No 50-Hz attenuation,Reference preprocessing,13,0.09615384615384616,0.0,0.19230769230769232,5,7,1,0.10256410256410255,0.07808244849709713,0.09641736216836228,post-hoc reviewer-requested exploratory sensitivity,0.6310657907994651,False,all 24 non-reference preprocessing comparisons
cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,no_window_zscore,No within-window z-score,Reference preprocessing,13,0.09615384615384616,-0.038461538461538464,0.23076923076923078,7,4,2,0.07692307692307691,0.6556885374548046,0.14692598078374663,post-hoc reviewer-requested exploratory sensitivity,0.6310657907994651,False,all 24 non-reference preprocessing comparisons
cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,recording_zscore,Recording-level z-score,Reference preprocessing,13,0.23076923076923078,0.057692307692307696,0.4230769230769231,7,4,2,0.17948717948717946,1.872666903541659,0.048771993285610445,post-hoc reviewer-requested exploratory sensitivity,0.6310657907994651,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,neutral_legacy_multipliers,Neutral legacy multipliers,Reference preprocessing,15,0.0,0.0,0.0,0,15,0,0.0,0.01185821326060497,1.0,post-hoc reviewer-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,no_50hz_attenuation,No 50-Hz attenuation,Reference preprocessing,15,0.0,-0.06666666666666667,0.06666666666666667,2,11,2,0.0,0.023708865008108405,1.0,post-hoc reviewer-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
