variant_id,variant,evaluation,evaluation_display,condition,condition_display,n_participants,mean_recording_balanced_accuracy,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mean_recording_accuracy,accuracy_ci95_low,accuracy_ci95_high,mean_recording_log_loss,log_loss_ci95_low,log_loss_ci95_high
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,0.5192307692307693,0.4230769230769231,0.6153846153846154,0.6153846153846154,0.5128205128205129,0.7179487179487178,2.0404289412809247,1.1481129126122962,3.2725779095850775
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,0.5576923076923077,0.4423076923076923,0.6923076923076923,0.641025641025641,0.5384615384615384,0.7435897435897437,2.3354143372374123,1.327110882577659,3.7307177031557788
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,0.5192307692307693,0.38461538461538464,0.6538461538461539,0.641025641025641,0.4871794871794872,0.769230769230769,3.1101333745645454,1.5385302697697414,5.1574358400828055
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,0.4423076923076923,0.36538461538461536,0.5192307692307693,0.5641025641025641,0.4871794871794871,0.6410256410256411,3.9960821898279386,2.5514535358622172,5.545525087392617
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,0.5192307692307693,0.4230769230769231,0.6153846153846154,0.6153846153846154,0.5128205128205129,0.7179487179487178,2.0370595174299386,1.1266962456778589,3.2447586925665775
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,0.40384615384615385,0.23076923076923078,0.5961538461538461,0.41025641025641024,0.2307692307692308,0.5897435897435896,1.1374345659281477,0.7381146179023462,1.623860672574646
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,0.5192307692307693,0.38461538461538464,0.6538461538461539,0.5384615384615384,0.4102564102564102,0.6666666666666666,1.2178445244522789,0.7191179470871233,1.833865330193482
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,0.5192307692307693,0.40384615384615385,0.6346153846153846,0.5128205128205127,0.3846153846153845,0.6410256410256411,1.7954506134099864,1.164920437781863,2.5144491837627054
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,0.6538461538461539,0.5,0.7884615384615384,0.6153846153846153,0.46153846153846145,0.769230769230769,3.012428979496841,1.441345012130613,4.943670511719019
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,0.4230769230769231,0.25,0.6153846153846154,0.43589743589743585,0.25641025641025644,0.6153846153846154,1.139762075955182,0.7304789923332862,1.6319432808212193
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.5833333333333334,0.5333333333333333,0.65,0.5833333333333334,0.5333333333333333,0.65,1.2835768672533654,0.8384367461856728,1.8532384413940934
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.5833333333333334,0.5,0.65,0.5833333333333334,0.5,0.65,1.2954275190008684,0.8236551842884205,1.8584621103414578
no_window_zscore,No within-window z-score,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.5333333333333333,0.4666666666666667,0.6,0.5333333333333333,0.4666666666666667,0.6,2.6023904486157674,1.5336386033032061,3.8670183626585133
recording_zscore,Recording-level z-score,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.6,0.5166666666666667,0.7,0.6,0.5166666666666667,0.6833333333333333,2.455385118172388,1.6963513643563564,3.2764675671292607
reference,Reference preprocessing,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.5833333333333334,0.5333333333333333,0.65,0.5833333333333334,0.5333333333333333,0.65,1.27171865399276,0.8265672336295852,1.8370671520031667
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,13,0.5961538461538461,0.5,0.6923076923076923,0.5961538461538461,0.5,0.6923076923076923,1.2749104220606795,0.7155814291844592,1.9741243184111728
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,13,0.6153846153846154,0.5,0.7307692307692307,0.6153846153846154,0.5,0.7307692307692307,1.751009911690684,0.8413431299141407,2.8416470387151382
no_window_zscore,No within-window z-score,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,13,0.6153846153846154,0.5192307692307693,0.7115384615384616,0.6153846153846154,0.5192307692307693,0.7115384615384616,2.534385876292572,0.8006931250427095,4.802011912573329
recording_zscore,Recording-level z-score,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,13,0.5,0.36538461538461536,0.6153846153846154,0.5,0.36538461538461536,0.6153846153846154,3.93969727236571,1.616114290187881,6.867582442041682
reference,Reference preprocessing,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,13,0.5961538461538461,0.5,0.6923076923076923,0.5961538461538461,0.5,0.6923076923076923,1.2675133929433773,0.7337767264782075,1.9566422876908356
neutral_legacy_multipliers,Neutral legacy multipliers,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.5466666666666666,0.5033333333333333,0.5966666666666666,0.5466666666666666,0.5000000000000001,0.5966666666666668,2.796505502510167,2.1504284356742964,3.542907894109451
no_50hz_attenuation,No 50-Hz attenuation,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.55,0.5033333333333332,0.6033333333333333,0.55,0.5033333333333333,0.6000833333333321,2.5461020661412013,1.9916285355655376,3.223360158913629
no_window_zscore,No within-window z-score,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.59,0.52,0.6566666666666667,0.59,0.52,0.6599999999999999,3.0181989368991995,2.1379295900255815,4.230891820785592
recording_zscore,Recording-level z-score,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.47666666666666674,0.42000000000000004,0.5300000000000001,0.47666666666666674,0.4200000000000001,0.53,6.648340256357079,5.066802289258391,8.1166467152136
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.5466666666666666,0.5000000000000001,0.5966666666666666,0.5466666666666666,0.5033333333333333,0.5966666666666666,2.8144306171434157,2.1618351288998365,3.5825674245464603
neutral_legacy_multipliers,Neutral legacy multipliers,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,13,0.5269230769230769,0.4269230769230769,0.6269230769230769,0.5269230769230769,0.42692307692307685,0.6269230769230769,2.9322805758103465,1.7902665982002846,4.519317261022512
no_50hz_attenuation,No 50-Hz attenuation,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,13,0.5076923076923077,0.43076923076923074,0.5846153846153845,0.5076923076923077,0.4346153846153845,0.5884615384615384,3.1846585942332952,2.1674165381542214,4.431779251841014
no_window_zscore,No within-window z-score,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,13,0.4730769230769231,0.39615384615384613,0.55,0.4730769230769231,0.3961538461538462,0.5538461538461539,3.866226583950967,2.8405950431626157,5.089808525163447
recording_zscore,Recording-level z-score,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,13,0.4423076923076924,0.37692307692307697,0.5038461538461538,0.4423076923076924,0.376923076923077,0.5038461538461539,7.61643358242725,6.116735447026904,8.991938071505054
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,13,0.5153846153846153,0.423076923076923,0.6076923076923078,0.5153846153846153,0.4153846153846154,0.6115384615384615,2.9263552767317407,1.775458270730779,4.531130637439276
