variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,n_evaluations,mean_recording_balanced_accuracy,mean_recording_accuracy,mean_recording_log_loss
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.25,0.3333333333333333,1.1087140409505278
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,0.5,0.6666666666666666,2.522972186377167
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,0.75,0.6666666666666666,0.25443461273153445
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.5,0.6666666666666666,2.564061671902885
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,0.5,0.6666666666666666,1.4459594332707304
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,0.25,0.3333333333333333,8.215409477124195
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,0.6666666666666666,1.0953277401833932
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.5,0.6666666666666666,1.0588553930166342
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.5,0.6666666666666666,2.7168501679354295
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.5,0.6666666666666666,0.5130043697113166
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.5,0.3333333333333333,2.8654973851394687
